"region","age","2016"
"1282 Landskrona","50-64 years",486.2
"1283 Helsingborg","18-29 years",323.5
"1283 Helsingborg","30-49 years",507.0
"1283 Helsingborg","50-64 years",546.6
"1284 Höganäs","18-29 years",372.7
"1284 Höganäs","30-49 years",577.9
"1284 Höganäs","50-64 years",651.8
"1285 Eslöv","18-29 years",344.1
"1285 Eslöv","30-49 years",502.5
"1285 Eslöv","50-64 years",513.0
"1286 Ystad","18-29 years",347.5
"1286 Ystad","30-49 years",552.1
"1286 Ystad","50-64 years",544.5
"1287 Trelleborg","18-29 years",346.4
"1287 Trelleborg","30-49 years",500.5
"1287 Trelleborg","50-64 years",508.0
"1290 Kristianstad","18-29 years",313.1
"1290 Kristianstad","30-49 years",485.5
"1290 Kristianstad","50-64 years",517.1
"1291 Simrishamn","18-29 years",361.4
"1291 Simrishamn","30-49 years",464.9
"1291 Simrishamn","50-64 years",490.8
"1292 Ängelholm","18-29 years",353.9
"1292 Ängelholm","30-49 years",540.6
"1292 Ängelholm","50-64 years",615.2
"1293 Hässleholm","18-29 years",312.1
"1293 Hässleholm","30-49 years",478.3
"1293 Hässleholm","50-64 years",482.3
"1315 Hylte","18-29 years",348.2
"1315 Hylte","30-49 years",471.1
"1315 Hylte","50-64 years",531.7
"1380 Halmstad","18-29 years",308.4
"1380 Halmstad","30-49 years",513.3
"1380 Halmstad","50-64 years",548.8
"1381 Laholm","18-29 years",371.5
"1381 Laholm","30-49 years",499.3
"1381 Laholm","50-64 years",514.5
"1382 Falkenberg","18-29 years",368.5
"1382 Falkenberg","30-49 years",531.7
"1382 Falkenberg","50-64 years",595.8
"1383 Varberg","18-29 years",377.7
"1383 Varberg","30-49 years",571.2
"1383 Varberg","50-64 years",611.7
"1384 Kungsbacka","18-29 years",414.5
"1384 Kungsbacka","30-49 years",707.9
"1384 Kungsbacka","50-64 years",772.6
"1401 Härryda","18-29 years",387.5
"1401 Härryda","30-49 years",644.8
"1401 Härryda","50-64 years",683.3
"1402 Partille","18-29 years",389.7
"1402 Partille","30-49 years",619.2
"1402 Partille","50-64 years",652.5
"1407 Öckerö","18-29 years",563.6
"1407 Öckerö","30-49 years",679.5
"1407 Öckerö","50-64 years",788.4
"1415 Stenungsund","18-29 years",382.3
"1415 Stenungsund","30-49 years",601.5
"1415 Stenungsund","50-64 years",601.4
"1419 Tjörn","18-29 years",419.2
"1419 Tjörn","30-49 years",604.3
"1419 Tjörn","50-64 years",661.7
"1421 Orust","18-29 years",370.9
"1421 Orust","30-49 years",527.1
"1421 Orust","50-64 years",547.4
"1427 Sotenäs","18-29 years",368.7
"1427 Sotenäs","30-49 years",529.5
"1427 Sotenäs","50-64 years",578.2
"1430 Munkedal","18-29 years",343.4
"1430 Munkedal","30-49 years",485.8
"1430 Munkedal","50-64 years",440.6
"1435 Tanum","18-29 years",363.5
"1435 Tanum","30-49 years",507.7
"1435 Tanum","50-64 years",519.9
"1438 Dals-Ed","18-29 years",274.8
"1438 Dals-Ed","30-49 years",398.6
"1438 Dals-Ed","50-64 years",426.0
"1439 Färgelanda","18-29 years",365.0
"1439 Färgelanda","30-49 years",445.8
"1439 Färgelanda","50-64 years",468.3
"1440 Ale","18-29 years",418.7
"1440 Ale","30-49 years",557.6
"1440 Ale","50-64 years",563.6
"1441 Lerum","18-29 years",422.3
"1441 Lerum","30-49 years",658.0
"1441 Lerum","50-64 years",671.6
"1442 Vårgårda","18-29 years",367.1
"1442 Vårgårda","30-49 years",512.6
"1442 Vårgårda","50-64 years",498.8
"1443 Bollebygd","18-29 years",397.2
"1443 Bollebygd","30-49 years",571.8
"1443 Bollebygd","50-64 years",670.5
"1444 Grästorp","18-29 years",357.6
"1444 Grästorp","30-49 years",502.4
"1444 Grästorp","50-64 years",496.8
"1445 Essunga","18-29 years",341.5
"1445 Essunga","30-49 years",472.7
"1445 Essunga","50-64 years",464.8
"1446 Karlsborg","18-29 years",332.9
"1446 Karlsborg","30-49 years",464.0
"1446 Karlsborg","50-64 years",486.6
"1447 Gullspång","18-29 years",289.7
"1447 Gullspång","30-49 years",415.8
"1447 Gullspång","50-64 years",431.7
"1452 Tranemo","18-29 years",359.1
"1452 Tranemo","30-49 years",510.2
"1452 Tranemo","50-64 years",531.6
"1460 Bengtsfors","18-29 years",280.1
"1460 Bengtsfors","30-49 years",405.2
"1460 Bengtsfors","50-64 years",422.7
"1461 Mellerud","18-29 years",311.2
"1461 Mellerud","30-49 years",427.7
"1461 Mellerud","50-64 years",428.9
"1462 Lilla Edet","18-29 years",380.8
"1462 Lilla Edet","30-49 years",491.6
"1462 Lilla Edet","50-64 years",487.2
"1463 Mark","18-29 years",343.6
"1463 Mark","30-49 years",523.1
"1463 Mark","50-64 years",529.9
"1465 Svenljunga","18-29 years",342.8
"1465 Svenljunga","30-49 years",513.8
"1465 Svenljunga","50-64 years",538.1
"1466 Herrljunga","18-29 years",347.3
"1466 Herrljunga","30-49 years",503.0
"1466 Herrljunga","50-64 years",471.4
"1470 Vara","18-29 years",337.6
"1470 Vara","30-49 years",473.2
"1470 Vara","50-64 years",488.6
"1471 Götene","18-29 years",340.7
"1471 Götene","30-49 years",495.7
"1471 Götene","50-64 years",514.5
"1472 Tibro","18-29 years",320.5
"1472 Tibro","30-49 years",463.4
"1472 Tibro","50-64 years",477.9
"1473 Töreboda","18-29 years",327.0
"1473 Töreboda","30-49 years",434.2
"1473 Töreboda","50-64 years",449.0
"1480 Göteborg","18-29 years",318.6
"1480 Göteborg","30-49 years",509.3
"1480 Göteborg","50-64 years",579.7
"1481 Mölndal","18-29 years",366.2
"1481 Mölndal","30-49 years",590.7
"1481 Mölndal","50-64 years",616.7
